ticker,market_date,price,moving_avg_price,volume,moving_avg_volume
BTC,2021-08-01,"$39,878.30","$39,469.96",80330,80330
BTC,2021-08-02,"$39,168.40","$39,942.13",74810,77570
BTC,2021-08-03,"$38,130.30","$40,048.84",260,51800
BTC,2021-08-04,"$39,736.90","$40,084.45",79220,58655
BTC,2021-08-05,"$40,867.20","$40,192.45",130600,73044
BTC,2021-08-06,"$42,795.40","$40,541.70",111930,79525
BTC,2021-08-07,"$44,614.20","$40,843.05",112840,84284.28571
BTC,2021-08-08,"$43,792.80","$41,122.94",105250,86905
BTC,2021-08-09,"$46,284.30","$41,923.69",117080,91498.75
BTC,2021-08-10,"$45,593.80","$42,726.86",80550,92216.25
ETH,2021-08-01,"$2,556.23","$2,368.62",1200000,1200000
ETH,2021-08-02,"$2,608.04","$2,420.90",970670,1085335
ETH,2021-08-03,"$2,506.65","$2,455.54",158450,776373.3333
ETH,2021-08-04,"$2,725.29","$2,508.67",1230000,889780
ETH,2021-08-05,"$2,827.21","$2,574.69",1650000,1041824
ETH,2021-08-06,"$2,889.43","$2,638.25",1060000,1044853.333
ETH,2021-08-07,"$3,158.00","$2,725.38",64840,904851.4286
ETH,2021-08-08,"$3,012.07","$2,785.37",1250000,947995
ETH,2021-08-09,"$3,162.93","$2,861.20",1440000,977995
ETH,2021-08-10,"$3,140.71","$2,927.79",1120000,996661.25
